source_index,source_label,label,stimulus_index,stimulus_s,annotation_onset_s,annotation_duration_ms,polarity,start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,bounds_inferred,component_rank,included_in_calibration,exclusion_reason,er_to_mr_ms,mr_to_lr_ms
10,lr,lr,297,287.9930114746094,288.0469970703125,1.495361328125,1,288.047,288.0485,53.988525390650466,55.23852539062091,55.488525390614996,1.4999999999645297,0.4099998474121094,0.46593750454485416,0.51812500692904,0.51812500692904,0.51812500692904,0.05218750238418579,0.010937511920928955,0.7502343719825149,0.4985175550505206,-0.05687499977648258,0.11907131493017077,4.351383935189544,0.43828778085461717,0.0918568164577946,False,3,True,,,34.74999999997408
11,er,er,299,288.9932556152344,289.0062561035156,1.495361328125,1,289.00625,289.00775,12.994384765647737,14.494384765612267,14.494384765612267,1.4999999999645297,0.875,-0.16328126192092896,-0.07765625417232513,-0.07765625417232513,0.16328126192092896,0.08562500774860382,0.08562500774860382,0.17632812820374966,0.12141762851500253,-0.1145312488079071,0.09127256106399,1.7889413862995978,0.9381243031908927,0.9381243031908927,False,1,True,,,
12,mr,mr,299,288.9932556152344,289.01263427734375,1.495361328125,-1,289.01275,289.01425,19.49438476560772,19.49438476560772,20.994384765629093,1.5000000000213731,0.875,-1.2398437559604645,-1.0810936987400055,-1.2398437559604645,1.2398437559604645,0.15875005722045898,0.15875005722045898,1.7561718970537186,1.170528877781498,-0.1145312488079071,0.09127256106399,13.583970270005093,1.7392966228827675,1.7392966228827675,False,1,True,,4.9999999999954525,
13,lr,lr,299,288.9932556152344,289.0281982421875,3.021240234375,1,289.02825,289.03125,34.9943847656391,34.9943847656391,37.994384765625,2.999999999985903,1.625,0.1564062498509884,0.3370312452316284,0.3370312452316284,0.3370312452316284,0.18062499538064003,0.18062499538064003,0.7356249946169555,0.2520795288712333,-0.1145312488079071,0.09127256106399,3.6925801281651363,1.9789627164510724,1.9789627164510724,False,1,True,,,15.500000000031378
14,lr,lr,299,288.9932556152344,289.04632568359375,3.0517578125,1,289.04625,289.0495,52.99438476561136,52.99438476561136,56.24438476564819,3.2500000000368345,1.75,0.34546874463558197,0.40171873569488525,0.40171873569488525,0.40171873569488525,0.056249991059303284,0.056249991059303284,1.2285546828061342,0.3780631708095551,-0.1145312488079071,0.09127256106399,4.40130890392399,0.6162858848659583,0.6162858848659583,False,2,True,,,33.50000000000364
15,mr,mr,308,293.49176025390625,293.50628662109375,1.495361328125,-1,293.50625,293.50775,14.489746093772737,14.489746093772737,15.989746093737267,1.4999999999645297,0.875,-1.128281269222498,-1.0151562429964542,-1.128281269222498,1.128281269222498,0.1131250262260437,0.1131250262260437,1.6232031267136335,1.0812984742558327,0.10140625014901161,0.14409018367524257,7.830382614859267,0.7850987717595694,0.7850987717595694,False,1,False,peak_latency_ms_outlier,-124.74999999994907,
16,lr,lr,308,293.49176025390625,293.5287780761719,3.021240234375,1,293.52875,293.53175,36.989746093752274,39.23974609375591,39.98974609373818,2.999999999985903,1.0775387000557608,0.1264062486588955,0.20890625938773155,0.20890625938773155,0.20890625938773155,0.08250001072883606,0.0065625011920928955,0.5647265613079071,0.18830833897454471,0.10140625014901161,0.14409018367524257,1.4498299194244528,0.5725581620103878,0.045544401601179015,False,1,True,,,24.749999999983174
17,lr,lr,308,293.49176025390625,293.54693603515625,3.021240234375,1,293.547,293.55,55.239746093775466,56.989746093734084,58.23974609376137,2.999999999985903,2.0124982515987035,0.24640625342726707,0.26765626296401024,0.26765626296401024,0.26765626296401024,0.021250009536743164,0.017187505960464478,0.7839453145861626,0.26041801587360897,0.10140625014901161,0.14409018367524257,1.857560703560951,0.14747714934306327,0.11928297627271064,False,2,True,,,42.49999999996135
18,er,er,308,293.49176025390625,293.6120910644531,21.17919921875,1,293.612,293.63325,120.23974609377319,139.2397460937218,141.48974609372544,21.24999999995225,2.323333313067753,-0.4857812561094761,0.030156251043081284,0.030156251043081284,0.4857812561094761,0.5159375071525574,0.09687500074505806,4.255078119633254,0.2485670724849756,0.10140625014901161,0.14409018367524257,3.3713695389850664,3.580656877469199,0.6723220019165194,False,1,False,peak_latency_ms_outlier;duration_ms_outlier,,
19,er,er,312,295.4914855957031,295.5048828125,0.0,1,295.5055,295.5065,14.014404296858629,14.764404296897737,15.014404296891826,1.0000000000331966,0.5340092602861977,1.1856249496340752,1.2890624925494194,1.2890624925494194,1.2890624925494194,0.10343754291534424,0.056874990463256836,1.2588671818375587,1.2494303455617668,-0.14343749731779099,0.1459434391569346,8.832616937053785,0.7087508935849914,0.389705702372126,True,1,True,,,
20,mr,mr,312,295.4914855957031,295.50885009765625,3.021240234375,-1,295.50875,295.51175,17.264404296895464,18.264404296871817,20.264404296881366,2.999999999985903,1.6838748809773296,-0.7484375312924385,-0.39281249791383743,-0.7484375312924385,0.7484375312924385,0.3556250333786011,0.23000001907348633,1.8880468681454659,0.6261221109814431,-0.14343749731779099,0.1459434391569346,5.1282711687206115,2.436731897185138,1.5759531254170647,False,1,True,,3.4999999999740794,
21,lr,lr,312,295.4914855957031,295.5205078125,1.52587890625,1,295.5205,295.522,29.01440429690183,29.01440429690183,30.51440429686636,1.4999999999645297,0.875,0.6274999901652336,0.6428124830126762,0.6428124830126762,0.6428124830126762,0.015312492847442627,0.015312492847442627,0.948085930198431,0.6328755305226432,-0.14343749731779099,0.1459434391569346,4.404531555005037,0.10492073460717156,0.10492073460717156,False,1,True,,,10.750000000030013
22,lr,lr,312,295.4914855957031,295.5310974121094,1.52587890625,1,295.531,295.5325,39.51440429688091,40.76440429685135,41.014404296902285,1.5000000000213731,0.4218731373530744,0.8368750140070915,0.8640624806284904,0.8640624806284904,0.8640624806284904,0.027187466621398926,0.0015624761581420898,1.2858593501150608,0.8562126589076973,-0.14343749731779099,0.1459434391569346,5.920529799899771,0.18628769322178257,0.010706039046139934,False,2,True,,,22.499999999979536
23,er,er,321,299.9912414550781,300.0040588378906,0.0,1,300.0045,300.0055,13.258544921882276,14.258544921858629,14.258544921858629,0.9999999999763531,0.625,0.13374999910593033,0.14749999716877937,0.14749999716877937,0.14749999716877937,0.013749998062849045,0.013749998062849045,0.14015624905005097,0.14034569369620964,-0.08312499895691872,0.11142665526964701,1.323740686748935,0.12339954052802471,0.12339954052802471,True,1,True,,,
24,mr,mr,321,299.9912414550781,300.0082092285156,1.52587890625,-1,300.00825,300.00975,17.008544921850444,17.258544921901375,18.508544921871817,1.5000000000213731,0.13541688742423597,-1.4243750534951687,-1.2078125439584255,-1.4243750534951687,1.4243750534951687,0.21656250953674316,0.0018750429153442383,2.0201172027736902,1.3445006649491609,-0.08312499895691872,0.11142665526964701,12.783072865718273,1.943543122717563,0.016827597587011175,False,1,True,,3.0000000000427463,
25,lr,lr,321,299.9912414550781,300.0169982910156,3.021240234375,1,300.017,300.02,25.758544921870907,28.008544921874545,28.75854492185681,2.999999999985903,0.846709148962359,-0.36781251057982445,-0.25749998912215233,-0.25749998912215233,0.36781251057982445,0.11031252145767212,0.005312502384185791,0.8655468709766865,0.2928223123305603,-0.08312499895691872,0.11142665526964701,3.300938269121839,0.9900011912833716,0.04767712331784345,False,1,True,,,10.74999999997317
26,lr,lr,321,299.9912414550781,300.03363037109375,3.021240234375,1,300.03375,300.03675,42.508544921872726,43.25854492185499,45.50854492185863,2.999999999985903,1.1251189703157658,0.8115624822676182,0.938749972730875,0.938749972730875,0.938749972730875,0.12718749046325684,0.03812497854232788,2.681914050132036,0.8920445287831384,-0.08312499895691872,0.11142665526964701,8.42482411824304,1.1414458251077302,0.34215312709573226,False,2,True,,,25.999999999953616
27,er,er,323,300.9912414550781,301.003662109375,1.495361328125,1,301.00375,301.00525,12.508544921900011,13.258544921882276,14.00854492186454,1.4999999999645297,0.7499999999999999,0.266718752682209,0.3020312488079071,0.3020312488079071,0.3020312488079071,0.03531249612569809,0.009687498211860657,0.44078125339001417,0.2920358382085298,-0.15703125298023224,0.1056352486744523,2.8591900203568397,0.3342870544521031,0.09170706116966391,False,1,True,,,
28,mr,mr,323,300.9912414550781,301.00970458984375,1.52587890625,-1,301.00975,301.01125,18.508544921871817,18.508544921871817,20.00854492189319,1.5000000000213731,0.875,-2.117343708872795,-1.8651562184095383,-2.117343708872795,2.117343708872795,0.25218749046325684,0.25218749046325684,3.040351487696171,2.023743656898547,-0.15703125298023224,0.1056352486744523,20.043912760579044,2.3873422330878458,2.3873422330878458,False,1,True,,5.249999999989541,
29,lr,lr,323,300.9912414550781,301.0187683105469,1.52587890625,1,301.01875,301.02025,27.50854492188637,29.0085449218509,29.0085449218509,1.4999999999645297,0.875,-0.15265624225139618,-0.12828125059604645,-0.12828125059604645,0.15265624225139618,0.02437499165534973,0.02437499165534973,0.20929687097668648,0.13989012803172132,-0.15703125298023224,0.1056352486744523,1.445125979888149,0.23074676266885885,0.23074676266885885,False,1,True,,,10.499999999979082
30,er,er,332,305.4909973144531,305.5012512207031,0.0,1,305.501,305.50275,10.002685546851353,11.252685546878638,11.752685546866815,1.7500000000154614,0.921034635990401,-0.17625001072883606,-0.05812498927116394,-0.05812498927116394,0.17625001072883606,0.11812502145767212,0.036875009536743164,0.13960937410593033,0.09390852668486968,0.4415625035762787,0.20501579008698462,0.8596899324391368,0.5761752370759039,0.1798642412913549,True,1,True,,,
31,mr,mr,332,305.4909973144531,305.506103515625,3.021240234375,-1,305.506,305.509,15.002685546846806,15.002685546846806,18.002685546889552,3.0000000000427463,1.625,-2.997500032186508,-2.1040625274181366,-2.997500032186508,2.997500032186508,0.8934375047683716,0.8934375047683716,7.997695371508598,2.6739624197543215,0.4415625035762787,0.20501579008698462,14.620825210169038,4.357896064441191,4.357896064441191,False,1,False,peak_latency_ms_outlier,3.7499999999681677,
