start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,label,polarity,candidate_rank,score,stimulus_index,stimulus_s,component_rank,auto_label
301.017,301.02325,25.758544921870907,30.258544921878183,32.008544921893645,6.25,4.636378552947141,-0.2695312350988388,-0.11734373867511749,-0.11734373867511749,0.2695312350988388,0.1521874964237213,0.14656251668930054,1.0187890529632568,0.173737573553389,-0.15703125298023224,0.1056352486744523,2.551527435027703,1.4406885801228544,1.387439500814527,lr,1,2,2.6614129791512147,323,300.9912414550781,1,lr_auto
301.03425,301.04025,43.0085449218609,46.25854492189774,49.00854492188955,6.0,4.2715559759625945,-0.1301562339067459,0.10515625402331352,0.10515625402331352,0.1301562339067459,0.23531248793005943,0.23218750581145287,0.42359374836087227,0.08027526439520774,-0.15703125298023224,0.1056352486744523,1.232128816280469,2.2275943956476842,2.198011636504123,lr,1,4,3.7596066276429387,323,300.9912414550781,2,lr_auto
301.50325,301.50475,12.008544921854991,13.258544921882276,13.508544921876364,1.5,0.9434210549692372,0.006250001490116119,0.05375000089406967,0.05375000089406967,0.05375000089406967,0.04749999940395355,0.044999999925494194,0.05335937648487743,0.036317863722260195,-0.034062501043081284,0.11513315415121614,0.4668507632777462,0.41256577876401224,0.39085179466542797,er,1,1,0.5569799150673834,324,301.4912414550781,1,er_auto
301.5075,301.50925,16.25854492186818,17.008544921850444,18.00854492188364,1.75,1.0822031742921376,-1.5109374560415745,-1.405312541872263,-1.5109374560415745,1.5109374560415745,0.10562491416931152,0.06968748569488525,2.591054699383676,1.473829230839015,-0.034062501043081284,0.11513315415121614,13.123391495529653,0.9174152740624436,0.6052773087703092,mr,-1,1,1.1804426559043992,324,301.4912414550781,1,mr_auto
301.54325,301.54575,52.008544921875455,53.25854492190274,54.50854492187318,2.5,1.6064036646643636,-0.06531250104308128,0.018437501043081284,0.018437501043081284,0.06531250104308128,0.08375000208616257,0.07187499850988388,0.05289062624797225,0.03120266301315868,-0.034062501043081284,0.11513315415121614,0.5672779619786991,0.7274186371734863,0.6242771601261188,lr,1,4,1.204068302919408,324,301.4912414550781,1,lr_auto
306.50425,306.50625,13.252685546888188,14.502685546858629,15.252685546897737,2.0,1.4237850248043655,-0.013125000521540642,0.1178125012665987,0.1178125012665987,0.1178125012665987,0.13093750178813934,0.08031250163912773,0.18101562652736902,0.09034691617593738,-0.017812499776482582,0.09636899646520614,1.2225145595361129,1.3587098194533354,0.8333852648151673,er,1,2,1.1930897747950902,334,306.4909973144531,1,er_auto
306.50875,306.51125,17.752685546895464,18.752685546871817,20.25268554689319,2.5,1.6778112929308604,-2.6628124620765448,-2.4356250669807196,-2.6628124620765448,2.6628124620765448,0.2271873950958252,0.20812487602233887,6.463320231996477,2.5737678740749526,-0.017812499776482582,0.09636899646520614,27.63142255027994,2.3574739120361268,2.1596663206665436,mr,-1,1,0.5336619978653871,334,306.4909973144531,1,mr_auto
306.52475,306.52625,33.752685546858174,34.50268554689728,35.25268554687955,1.5,0.9914283538351167,-0.10812500678002834,-0.08499999903142452,-0.08499999903142452,0.10812500678002834,0.02312500774860382,0.017812497913837433,0.13792968913912773,0.09423971927814156,-0.017812499776482582,0.09636899646520614,1.1219895479462287,0.23996314786730258,0.18483639518098133,lr,1,2,0.6634036363311009,334,306.4909973144531,1,lr_auto
307.5025,307.5035,11.502685546872726,12.252685546854991,12.50268554684908,1.0,0.4542855656386863,0.22156249731779099,0.2815624959766865,0.2815624959766865,0.2815624959766865,0.05999999865889549,0.047187498304992914,0.2558203096850775,0.2511461200287834,-0.2368749976158142,0.1429319190636277,1.9699063569652755,0.419780263582593,0.3301396819837484,er,1,1,0.8338737126787658,336,307.4909973144531,1,er_auto
307.508,307.51075,17.002685546856355,18.25268554688364,19.75268554684817,2.75,1.8502846234855068,-1.5490625500679016,-1.2893750071525574,-1.5490625500679016,1.5490625500679016,0.25968754291534424,0.2418750524520874,4.016992226243019,1.4498203594258,-0.2368749976158142,0.1429319190636277,10.837765001800049,1.8168617941786782,1.6922395923643485,mr,-1,1,0.5881059572450469,336,307.4909973144531,1,mr_auto
