source_index,source_label,label,stimulus_index,stimulus_s,annotation_onset_s,annotation_duration_ms,polarity,start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,bounds_inferred,component_rank,included_in_calibration,exclusion_reason,er_to_mr_ms,mr_to_lr_ms,auto_label
51,mr_auto,mr,339,308.990997,309.00775,2.999999999985903,-1,309.00775,309.01075,16.752999999994245,18.00300000002153,19.752999999980148,2.999999999985903,1.9362743234202653,-1.6307813003659248,-1.2920312955975533,-1.6307813003659248,1.6307813003659248,0.3387500047683716,0.26875007152557373,4.575000010430813,1.5133860765717877,-0.13453125208616257,0.12115620814561844,13.46015466583337,2.7959772755616927,2.218211312808348,False,1,True,,3.2500000000368345,,mr_auto
52,lr_auto,lr,339,308.990997,309.0175,4.750000000001364,1,309.0175,309.02225,26.50299999999106,29.252999999982876,31.252999999992426,4.750000000001364,2.924429258939792,-0.39265627413988113,-0.274531252682209,-0.274531252682209,0.39265627413988113,0.11812502145767212,0.11406248807907104,1.5274999868124723,0.3271603284748392,-0.13453125208616257,0.12115620814561844,3.240909237337182,0.9749811690680917,0.941449801251444,False,1,True,,,11.249999999961346,lr_auto
53,er_auto,er,349,313.990753,314.00225,2.999999999985903,1,314.00225,314.00525,11.497000000019852,12.997000000041226,14.497000000005755,2.999999999985903,1.829410045744592,-0.11796875298023224,-0.059843748807907104,-0.059843748807907104,0.11796875298023224,0.058125004172325134,0.04343750327825546,0.2343359449878335,0.0823917242845204,0.18140625208616257,0.04239309198260307,2.782735286886913,1.3710961256654268,1.024636355755343,False,1,True,,,,er_auto
54,mr_auto,mr,349,313.990753,314.00725,3.249999999979991,-1,314.00725,314.0105,16.497000000015305,17.74700000004259,19.746999999995296,3.249999999979991,2.063866394212048,-2.547031156718731,-2.06515621393919,-2.547031156718731,2.547031156718731,0.481874942779541,0.39343738555908203,7.769687509164214,2.3753077611529387,0.18140625208616257,0.04239309198260307,60.0812782838289,11.366827005147181,9.280695678450103,False,1,True,,4.750000000001364,,mr_auto
55,lr_auto,lr,349,313.990753,314.01575,9.500000000002728,1,314.01575,314.02525,24.99700000004168,26.7470000000003,34.49700000004441,9.500000000002728,3.1980323817869687,-0.6614062413573265,-0.4414062425494194,-0.4414062425494194,0.6614062413573265,0.2199999988079071,0.17781251668930054,4.997382864356041,0.5313892444523154,0.18140625208616257,0.04239309198260307,15.60174571906076,5.1895247201640515,4.194374799608148,False,1,True,,,8.999999999957708,lr_auto
56,lr_auto,lr,349,313.990753,314.02175,2.250000000003638,1,314.02175,314.024,30.997000000013486,31.99699999998984,33.247000000017124,2.250000000003638,1.4191172345701175,-0.5467187389731407,-0.5251562520861626,-0.5251562520861626,0.5467187389731407,0.02156248688697815,0.01812499761581421,1.1981250140815973,0.5337968093408677,0.18140625208616257,0.04239309198260307,12.896411028417052,0.5086320878841956,0.4275460167720769,False,2,True,,,14.24999999994725,lr_auto
57,er_auto,er,350,314.490753,314.5045,1.4999999999645297,1,314.5045,314.506,13.74700000002349,14.746999999999844,15.24699999998802,1.4999999999645297,0.8050438656678205,-0.8292187079787254,-0.6998437270522118,-0.6998437270522118,0.8292187079787254,0.12937498092651367,0.1053125262260437,1.1259765587747097,0.7613897545566155,-0.18953124433755875,0.13528725905790925,6.129318560765439,0.9562983375332865,0.7784363949672825,False,1,True,,,,er_auto
58,mr_auto,mr,350,314.490753,314.5075,2.999999999985903,-1,314.5075,314.5105,16.747000000009393,17.997000000036678,19.746999999995296,2.999999999985903,2.106702021614531,-2.1417187079787254,-1.7654687985777855,-2.1417187079787254,2.1417187079787254,0.37624990940093994,0.3621875047683716,6.05597660690546,2.003758515193637,-0.18953124433755875,0.13528725905790925,15.830897328343166,2.78111857702644,2.677173795156412,False,1,True,,3.2500000000368345,,mr_auto
59,lr_auto,lr,350,314.490753,314.51425,9.749999999996817,1,314.51425,314.524,23.497000000020307,24.74699999999075,33.247000000017124,9.749999999996817,7.917084803092795,-0.007343761622905731,0.1510937437415123,0.1510937437415123,0.1510937437415123,0.15843750536441803,0.12437500059604645,0.9950390104204416,0.10477605330991176,-0.18953124433755875,0.13528725905790925,1.1168364618639892,1.171119190881082,0.919340087619102,False,1,True,,,6.7499999999540705,lr_auto
60,er_auto,er,351,314.990753,315.002,3.249999999979991,1,315.002,315.00525,11.247000000025764,13.497000000029402,14.497000000005755,3.249999999979991,1.8099999332428616,0.2434375062584877,0.26875001192092896,0.26875001192092896,0.26875001192092896,0.025312505662441254,0.021875008940696716,0.8426953302696347,0.25838455745346767,-0.13562500476837158,0.06671700265109538,4.0282087210420645,0.3794011220020788,0.3278775735039344,False,1,True,,,,er_auto
