auto_index,manual_index,overlap_s,intersection_over_union,epoch_index,stim_sample,next_stim_sample,stim_time_s_x,isi_ms,baseline_median_uv,baseline_noise_uv,baseline_noise_outlier,candidate_found,er_found,er_detection_source,er_significant,stim_time_s_y,er_start_ms,er_peak_ms,er_end_ms,er_core_end_ms,er_rebound_ms,er_full_duration_ms,er_width_ms,er_min_uv,er_max_uv,er_depth_uv,er_p2p_uv,er_core_p2p_uv,er_prominence_uv,er_rebound_change_native,er_rebound_depth_ratio,er_morphology_score,effective_noise_uv,er_depth_noise_ratio,er_p2p_noise_ratio,er_prominence_noise_ratio,amplitude_unit,er_threshold_source,er_significance_reason
50.0,140.0,0.02224633789063546,0.9997915295166256,347,1251963,1253963,312.99075,500.0,-0.2071875035762787,0.12880086262822152,False,True,True,significant_er,True,312.99075,14.5,16.75,36.75,21.0,36.75,22.25,6.5,-2.3506250381469727,-0.4115625023841858,2.143437534570694,1.9390625357627869,1.1912500858306885,1.7340625524520874,1.9390625357627869,0.9046508258292486,2.309630348288776,0.12880086262822152,16.641484310222673,15.054732524267422,13.463128406658182,native,verified_mad,significant
42.0,132.0,0.02223681640623454,0.9989361585445437,334,1225964,1227964,306.491,500.0,-0.02031249925494194,0.09775893816277384,False,True,True,significant_er,True,306.491,16.25,18.75,38.5,23.25,38.5,22.25,7.0,-2.6806249618530273,0.234375,2.6603124625980854,2.9149999618530273,1.577187418937683,1.8981249332427979,2.9149999618530273,1.0957359343444235,1.915976131158807,0.12092456868588923,21.99976804968765,24.105936399285092,15.696768273561693,native,verified_mad,significant
31.0,119.0,0.02199999999999136,0.9998557558941982,308,1173967,1175967,293.49175,500.0,0.10406249761581421,0.14362687058150767,False,True,True,significant_er,True,293.49175,12.25,14.25,34.25,20.0,34.25,22.0,7.75,-1.0281250476837158,-0.014687499962747097,1.13218754529953,1.0134375477209687,0.7206250429153442,0.7128125429153442,1.0134375477209687,0.8951145522916479,3.2228660697074267,0.14362687058150767,7.88283933720479,7.056044204109057,4.962946975237659,native,verified_mad,significant
96.0,216.0,0.02199999999999136,0.6263214596001015,522,1783617,1785618,445.90425,500.25,-0.23406249284744263,0.09312580101191997,False,True,True,significant_er,True,445.90425,11.25,13.25,33.25,18.5,33.25,22.0,7.25,-3.4046874046325684,-0.18031249940395355,3.1706249117851257,3.224374905228615,1.6368749141693115,0.588749885559082,3.224374905228615,1.0169524919973036,3.011080764186877,0.12092456868588923,26.219857107955168,26.664349025748226,4.868736700549287,native,verified_mad,significant
36.0,124.0,0.021998535156228627,0.9997226259540037,322,1201965,1203965,300.49125,500.0,-0.037812501192092896,0.09868556504063308,False,True,True,significant_er,True,300.49125,16.5,18.5,38.5,23.75,38.5,22.0,7.25,-2.156874895095825,-0.09875000268220901,2.1190623939037323,2.058124892413616,1.1112499237060547,1.2806248664855957,2.058124892413616,0.9712431773290747,2.218795955667624,0.12092456868588923,17.523836693667754,17.019906829353697,10.590278554659278,native,verified_mad,significant
60.0,151.0,0.021996337890584527,0.9995229642745053,361,1279955,1281954,319.98875,499.75,-0.08531250059604645,0.13806712588369846,False,True,True,significant_er,True,319.98875,15.0,17.5,37.0,22.0,37.0,22.0,7.0,-2.150937557220459,0.48249998688697815,2.0656250566244125,2.633437544107437,1.0862500667572021,1.962500050663948,2.633437544107437,1.2748865219571495,1.8876653685276283,0.13806712588369846,14.961020180606948,19.073602982984717,14.214100844809863,native,verified_mad,significant
100.0,248.0,0.021996093750033197,0.9995007821114393,559,1857612,1859613,464.403,500.25,-0.5006250143051147,0.3294151274085045,False,True,True,significant_er,True,464.403,13.5,15.75,35.5,18.75,35.5,22.0,5.25,-4.935312271118164,-0.010312500409781933,4.434687256813049,4.924999770708382,2.5465621948242188,4.124374747276306,4.924999770708382,1.110563042104505,2.4891781570856812,0.3294151274085045,13.462306032210952,14.950739540874023,12.52029553021015,native,verified_mad,significant
63.0,154.0,0.021995117187486812,0.9994120583496297,364,1285954,1287954,321.4885,500.0,-0.062187500298023224,0.13343399425595998,False,True,True,significant_er,True,321.4885,15.75,17.75,37.75,21.5,37.75,22.0,5.75,-1.6924999952316284,0.4996874928474426,1.6303124949336052,2.192187488079071,0.9259374737739563,1.4628124982118607,2.192187488079071,1.3446425117218699,1.5880299346091071,0.13343399425595998,12.218119558095935,16.42900297111622,10.962817281822637,native,verified_mad,significant
38.0,126.0,0.021993896484332254,0.9993011647219668,324,1205965,1207965,301.49125,500.0,-0.03437500074505806,0.11397487124428153,False,True,True,significant_er,True,301.49125,15.0,17.0,37.0,23.0,37.0,22.0,8.0,-1.5449999570846558,0.5331249833106995,1.5106249563395977,2.0781249403953552,0.7803124785423279,1.247499942779541,2.0781249403953552,1.3756723213621926,2.1461803731085864,0.12092456868588923,12.492291457028562,17.18529958782357,10.316348086549864,native,verified_mad,significant
41.0,131.0,0.021990478515647283,0.9989907280091589,333,1223964,1225964,305.991,500.0,-0.1171875,0.1348239304304123,False,True,True,significant_er,True,305.991,14.75,16.75,36.75,21.25,36.75,22.0,6.5,-1.8471875190734863,0.10781250149011612,1.7300000190734863,1.9550000205636024,0.9353125095367432,1.4218750298023224,1.9550000205636024,1.1300578028956418,1.978090701388248,0.1348239304304123,12.83155010798624,14.500393322776267,10.546162133555404,native,verified_mad,significant
