epoch_index,stim_sample,next_stim_sample,stim_time_s_x,isi_ms,baseline_median_uv,baseline_noise_uv,baseline_noise_outlier,candidate_found,er_found,er_detection_source,er_significant,stim_time_s_y,er_start_ms,er_peak_ms,er_end_ms,er_core_end_ms,er_rebound_ms,er_full_duration_ms,er_width_ms,er_min_uv,er_max_uv,er_depth_uv,er_p2p_uv,er_core_p2p_uv,er_prominence_uv,er_rebound_change_native,er_rebound_depth_ratio,er_morphology_score,effective_noise_uv,er_depth_noise_ratio,er_p2p_noise_ratio,er_prominence_noise_ratio,amplitude_unit,er_threshold_source,er_significance_reason
50,424739,426739,106.18475,500.0,-0.036249998956918716,0.13667718418613076,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
51,426739,428739,106.68475,500.0,0.3409374952316284,0.1704990141391754,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
52,428739,430739,107.18475,500.0,-0.3296875059604645,0.17466881161630152,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
53,430739,432738,107.68475,499.75,0.11500000208616257,0.08663944324404001,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
54,432738,434738,108.1845,500.0,-0.2928124964237213,0.16030612676739692,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
55,434738,436738,108.6845,500.0,-0.1496874988079071,0.1445535002209246,False,True,True,significant_er,True,108.6845,13.0,17.75,26.0,22.0,26.0,13.0,9.0,-1.380312442779541,0.04593750089406967,1.230624943971634,1.4262499436736107,0.6974999308586121,1.125937432050705,1.4262499436736107,1.1589639480820453,4.473621262321807,0.1445535002209246,8.513283608427606,9.86658878196542,7.789070692372772,native,matched_auto_manual_robust_mad,significant
56,436738,438737,109.1845,499.75,-0.2150000035762787,0.11351155366301537,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
57,438737,440738,109.68425,500.25,0.046875,0.06486374993096106,False,True,True,significant_er,True,109.68425,14.5,16.75,25.75,20.0,25.75,11.25,5.5,-0.6628124713897705,0.15812499821186066,0.7096874713897705,0.8209374696016312,0.41624997556209564,0.6878124717622995,0.8209374696016312,1.1567591407440256,2.870897971958531,0.12092456868588923,5.868844347365321,6.78883934441874,5.6879464548593495,native,matched_auto_manual_robust_mad,significant
58,440738,442737,110.1845,499.75,-0.2984375059604645,0.1098050792902708,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
59,442737,444737,110.68425,500.0,-0.12562499940395355,0.13111743396520614,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
60,444737,446737,111.18425,500.0,0.23093749582767487,0.13528727562725543,False,True,True,significant_er,True,111.18425,12.5,15.5,23.25,18.0,23.25,10.75,5.5,-0.5406249761581421,0.44437500834465027,0.771562471985817,0.9849999845027924,0.44843747466802597,0.6121874749660492,0.9849999845027924,1.2766302409286943,4.655858624454636,0.13528727562725543,5.703141469946013,7.280802868827606,4.525092785908063,native,matched_auto_manual_robust_mad,significant
61,446737,448737,111.68425,500.0,-0.13562500476837158,0.14270025751143692,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
62,448737,450737,112.18425,500.0,-0.11562500149011612,0.10146542910486459,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
63,450737,452737,112.68425,500.0,0.08656249940395355,0.13667717866301535,False,True,False,candidate_not_significant,False,112.68425,11.5,16.0,25.5,19.25,25.5,14.0,7.75,-0.6340625286102295,0.42093750834465027,0.720625028014183,1.0571875274181366,0.3750000298023224,0.0012500286102294922,1.0550000369548798,1.4640069327901775,5.507216243804844,0.13667717866301535,5.272460516549887,7.734923545829748,0.009145847334992935,native,matched_auto_manual_robust_mad,below_snr
64,452737,454737,113.18425,500.0,-0.1834374964237213,0.09590569545328617,False,True,False,candidate_not_significant,False,113.18425,11.75,13.75,31.25,18.0,31.25,19.5,6.25,-0.43562498688697815,0.06843750178813934,0.25218749046325684,0.5040624886751175,0.13249999284744263,0.10499998927116394,0.5040624886751175,1.9987608733057214,6.024640075386857,0.12092456868588923,2.0854942316836627,4.168404271794081,0.8683098100925165,native,matched_auto_manual_robust_mad,below_snr
65,454737,456737,113.68425,500.0,0.09968750178813934,0.026872121465206143,False,True,False,candidate_not_significant,False,113.68425,10.75,13.0,26.0,20.25,26.0,15.25,9.5,-0.41843751072883606,0.35093748569488525,0.5181250125169754,0.7693749964237213,0.3056250140070915,0.04937499761581421,0.7693749964237213,1.4849215495044532,8.09100604071575,0.12092456868588923,4.284695973262841,6.362437383772948,0.4083123731792629,native,matched_auto_manual_robust_mad,below_snr
